From, To, Duration, Time, Mode, Warnings, Time in Traffic
Harpur Lane,Aon,1 hour 6 mins,2025-07-01 13:00:29.150447,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-01 13:00:29.150447,driving,,42 mins
Harpur Lane,Aon,1 hour 6 mins,2025-07-01 13:15:31.023688,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-01 13:15:31.023688,driving,,40 mins
Harpur Lane,Aon,1 hour 14 mins,2025-07-01 13:30:32.767307,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-01 13:30:32.767307,driving,,41 mins
Harpur Lane,Aon,1 hour 14 mins,2025-07-01 13:45:34.487529,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-01 13:45:34.487529,driving,,40 mins
Harpur Lane,Aon,1 hour 9 mins,2025-07-01 14:00:36.085710,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-01 14:00:36.085710,driving,,38 mins
Harpur Lane,Aon,1 hour 9 mins,2025-07-01 14:15:37.742154,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-01 14:15:37.742154,driving,,38 mins
Harpur Lane,Aon,1 hour 18 mins,2025-07-01 14:30:39.603017,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-01 14:30:39.603017,driving,,39 mins
Harpur Lane,Aon,1 hour 31 mins,2025-07-01 14:45:41.239016,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-01 14:45:41.239016,driving,,39 mins
Harpur Lane,Aon,1 hour 9 mins,2025-07-01 15:00:43.206011,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-01 15:00:43.206011,driving,,40 mins
Harpur Lane,Aon,1 hour 9 mins,2025-07-01 15:15:45.092862,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,37 mins,2025-07-01 15:15:45.092862,driving,,40 mins
