From, To, Duration, Time, Mode, Warnings, Time in Traffic
Harpur Lane,Bank Of America,26 mins,2025-06-30 20:00:45.806026,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 20:15:47.383029,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 20:30:48.914972,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 20:45:50.486997,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 21:00:52.001089,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 21:15:53.625378,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 21:30:55.328140,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 21:45:56.909585,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 22:00:58.457044,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 22:15:59.856637,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 22:31:01.506358,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 22:46:03.158582,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 23:01:04.631584,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-06-30 23:16:06.206051,driving,,25 mins
Harpur Lane,Bank Of America,31 mins,2025-06-30 23:31:07.840458,driving,,28 mins
Harpur Lane,Bank Of America,31 mins,2025-06-30 23:46:09.315161,driving,,28 mins
Harpur Lane,Bank Of America,31 mins,2025-07-01 00:00:00.451745,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 08:45:00.404165,driving,,43 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 09:00:00.383156,driving,,36 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 09:15:02.053501,driving,,33 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 09:30:04.018508,driving,,33 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 09:45:05.706806,driving,,31 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 10:00:07.610258,driving,,29 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 10:15:09.249413,driving,,28 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 10:30:11.160954,driving,,29 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 10:45:12.748890,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 11:00:14.597174,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 11:15:16.227311,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 11:30:17.926175,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 11:45:19.930130,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 12:00:21.951092,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 12:15:23.730260,driving,,28 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 12:30:25.386393,driving,,28 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 12:45:27.152667,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 13:00:28.901490,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 13:15:30.756162,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 13:30:32.483951,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 13:45:34.222478,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 14:00:35.806366,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 14:15:37.473687,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 14:30:39.321098,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 14:45:40.951291,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 15:00:42.826464,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 15:15:44.805441,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 15:30:46.718309,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 15:45:48.554396,driving,,28 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 16:00:50.549363,driving,,30 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 16:15:52.410485,driving,,31 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 16:30:54.401006,driving,,31 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 16:45:56.268339,driving,,32 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 17:00:58.011521,driving,,37 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 17:15:59.859198,driving,,39 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 17:31:01.532234,driving,,42 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 17:46:03.320716,driving,,40 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 18:01:04.940028,driving,,40 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 18:16:06.623542,driving,,40 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 18:31:08.656132,driving,,35 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 18:46:10.702516,driving,,34 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 19:01:12.409663,driving,,30 mins
