From, To, Duration, Time, Mode, Warnings, Time in Traffic
Aon,Harpur Lane,35 mins,2025-06-30 13:10:01.905334,driving,,36 mins
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 13:11:26.866783,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 13:11:27.307846,driving,,36 mins
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 13:12:32.901514,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 13:12:37.190098,driving,,35 mins
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 13:15:01.081577,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 13:15:01.536353,driving,,35 mins
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 13:15:54.001982,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 13:15:54.478135,driving,,36 mins
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 13:19:39.115299,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 13:19:39.552374,driving,,36 mins
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 13:23:01.221193,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 13:23:01.698423,driving,,36 mins
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 13:30:01.538596,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 13:30:01.959602,driving,,36 mins
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 13:45:03.201300,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,36 mins,2025-06-30 13:45:03.609703,driving,,40 mins
Aon,Harpur Lane,1 hour 3 mins,2025-06-30 14:00:04.883240,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,36 mins,2025-06-30 14:00:05.212997,driving,,41 mins
Aon,Harpur Lane,1 hour 7 mins,2025-06-30 14:15:06.612800,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 14:15:07.034033,driving,,38 mins
Aon,Harpur Lane,1 hour 7 mins,2025-06-30 14:30:08.453001,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 14:30:08.930092,driving,,38 mins
Aon,Harpur Lane,1 hour 7 mins,2025-06-30 14:45:10.266949,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 14:45:10.629932,driving,,39 mins
